input,output
在移动网知识范围内，解释一下什么是GGSN,"网关GPRS支撑节点（Gateway GPRSSupporting Node,【缩写】GGSN）
GGSN是GPRS数据业务网络和其他网络之间的网络节点，俗称网关，一般为网络实体。"
在移动网知识范围内，解释一下什么是GMM,"GPRS移动性管理（GPRS MobilityManagement,【缩写】GMM）
移动性管理(MM)用于跟踪在本地PLMN 或其他PLMN 中 MS的当前位置。与GPRS 用户相关的移动性管理定义了空闲(Idle)、等待(Standby)、就绪(Ready)3种不同的移动性管理状态，每一种状态都描述了一定的功能性级别和分配的信息，它们之间可以相互转化。"
在移动网知识范围内，解释一下什么是GMSC,"网关MSC（Gateway MSC,【缩写】GMSC）
GMSC作为从其他网络或业务接入到PLMN的接入点，是进入PLMN 呼叫的询问节点。"
在移动网知识范围内，解释一下什么是GMSK,"高斯滤波最小频移键控移动网（Gaussian filteredMinimum Shift Keying,【缩写】GMSK）
GMSK是GSM系统采用的调制方式。数字调制解调技术是数字峰窝移动通信系统空中接口的重要组成部分。GMSK调制是在MSK(最小频移键控)调制器之前插入高斯低通预调制滤波器这样一种调制方式。GMSK 提高了数字移动通信系统的频谱利用率和通信质量。"
在移动网知识范围内，解释一下什么是GPRS,"通用分组无线业务（General PacketRadio Service,【缩写】GPRS）
在GSM PLMN中提供的一种无线分组业务。它使得移动用户能够在端到端分组传输模式下发送和接收数据。在GPRS中定义了两类承载业务：点对点业务(PTP)和点对多点业务(PTM)。"
在移动网知识范围内，解释一下什么是GSM,"全球移动通信系统-23-（Global System forMobile communications,【缩写】GSM）
GSM是指第二代移动通信技术，GSM系统包括GSM900:900MHz、GSM1800:1800MHz  GSM1900:1900MHz 等几个频段。"
在移动网知识范围内，解释一下什么是GSN,"GPRS支持节点（GPRS SupportingNode,【缩写】GSN）
GSN是GPRS网络中最重要的网络节点，是GSM网络为引入GPRS 功能增加的物理功能实体。GSN 具有移动路由管理功能，它可以连接各种类型的数据网络，并可以连到GPRS寄存器；可以完成移动台和各种数据网络之间的数据传送和格式转换。GSN 可以是一种类似于路由器的独立设备，也可以与GSM 中的MSC 集成在一起。"
在移动网知识范围内，解释一下什么是GTP,"GPRS隧道协议-24-下图书www.xiatushu.com通信信息技术常用术语解释（第一版）高清图书享受阅读（GPRS TunnelProtocol,【缩写】GTP）
GTP是指用于传送GPRS骨干网中GPRS支持节点间数据和信令的隧道传输协议，由控制面和用户面组成，分别用于传送控制信息和用户分组数据包。"
在移动网知识范围内，解释一下什么是GTP-C,"GTP控制面（GPRS TunnelingProtocol-Packet Data ControlPlane,【缩写】GTP-C）
GTP控制面是核心网分组域的传输网络层控制面协议，用于封装并传送分组控制信息。"
在移动网知识范围内，解释一下什么是GTP-U,"GTP用户面（GPRS TunnelingProtocol-Packet Data User Plane,【缩写】GTP-U）
GTP用户面是核心网分组域的传输网络层用户面。协议，用于透明封装并传送分组用户数据包等信息。"
